real_time,TIME_SINCE_MARK,CURRENT_STAGE,ALTITUDE_ASL,DOWN_RANGE,SPEED_SURFACE,SPEED_ORBITAL,MASS,ACCELERATION,Q,AO_A,AO_S,AO_D,ALTITUDE_TRUE,PITCH,GRAVITY_LOSSES,DRAG_LOSSES,STEERING_LOSSES,DELTA_V_EXPENDED
-0.1,-1,10,121.2640491,0,0,437.6434573,584.2356542,1,0,0,0,0,28.86699002,90,0,0,0,0
0,0,9,121.2640491,0.134258786,0,437.6434573,584.2356542,1.254366,2.630390168,-0.240127278,0.052633537,0.246187342,28.86699002,89.87793274,0,0,0,0
0.234126984,0.019999981,9,121.3100578,0,0.050612617,437.6442143,584.1867498,1.254854809,2.756628864,-0.237947818,0.056901352,0.244911623,28.90844871,89.87295227,0.00112729,0,0.24422053,0.246266922
0.468253968,0.239999771,9,121.8831172,0.094935298,0.608940188,437.6556075,583.6487249,1.256958529,4.34550975,-0.235627983,0.129978924,0.270443513,29.43131409,89.80913391,0.015032066,0,2.928058839,2.956184006
0.702380952,0.459999561,9,122.5792068,0.134258786,1.169102101,437.6782262,583.1107458,1.257887592,6.301430859,-0.205277217,0.323205313,0.386450163,30.07703618,89.73502197,0.031700005,0,5.606801308,5.667792583
0.936507937,0.679999352,9,123.398797,0.094935298,1.731777381,437.7145645,582.5727514,1.259130098,8.630367327,-0.089874115,0.621766153,0.630282667,30.8460574,89.66554565,0.051141592,0,8.281896637,8.382372284
1.170634921,0.899999142,9,124.3424794,0.094935298,2.298152205,437.7623686,582.0347113,1.260538124,11.3422062,0.083342774,0.97089734,0.975335309,31.73890637,89.61489563,0.073371772,0,10.95456356,11.10031708
1.404761905,1.119998932,9,125.4109206,0.094935298,2.867388773,437.8172951,581.4966406,1.261898728,14.44085546,0.281646026,1.321262979,1.351213336,32.75626292,89.594104,0.098401886,0,13.62555919,13.8210656
1.638888889,1.339998722,9,126.604676,0.134258786,3.439556161,437.8740435,580.9586157,1.263098266,17.93215629,0.475208865,1.633959563,1.701671125,33.89870068,89.60826721,0.126244314,0,16.29588334,16.54407827
1.873015873,1.559998512,9,127.92441,0,4.015178731,437.9273874,580.4204458,1.264596593,21.82339183,0.640003086,1.88199885,1.987699806,35.16682781,89.65563354,0.156915288,0,18.96860095,19.27099519
2.107142857,1.779998302,9,129.3708116,0.189870596,4.593199375,437.9729333,579.8822912,1.265874022,26.11605763,0.759745048,2.049936502,2.185930858,36.56135986,89.73008728,0.190428207,0,21.64351796,22.0004568
